Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,3,6.000,2000.000,1968.000,-1.600,38.120,38.080,130.000,431.000,1.968,0.021,0.064,0.033,2.032,1.904,2.008,1.917,-1.600,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,2000.000,1995.000,-0.300,38.410,38.380,130.000,388.000,1.995,0.022,0.065,0.032,2.060,1.930,2.053,1.941,-0.300,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,2000.000,1959.000,-2.000,38.420,38.450,130.000,472.000,1.959,0.053,0.159,0.081,2.118,1.801,2.055,1.795,-2.000,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,2000.000,2038.000,1.900,38.440,38.450,130.000,472.000,2.038,0.042,0.127,0.062,2.165,1.911,2.127,1.921,1.900,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,2000.000,1968.000,-1.600,38.570,38.580,130.000,472.000,1.968,0.067,0.200,0.101,2.168,1.768,2.112,1.731,-1.600,0.000,100.000,59.000,0.000
mode longMedium,3,15.000,2000.000,1998.000,-0.100,38.580,38.580,130.000,472.000,1.998,0.054,0.161,0.081,2.159,1.837,2.140,1.862,-0.100,0.000,100.000,61.000,0.000
mode longMedium,0,20.000,2000.000,1995.000,-0.300,38.820,38.830,130.000,472.000,1.995,0.064,0.191,0.096,2.186,1.804,2.127,1.822,-0.300,0.000,100.000,74.000,0.000
mode longMedium,0,25.000,2000.000,1927.000,-3.600,38.120,38.050,130.000,423.000,1.927,0.037,0.111,0.058,2.038,1.816,1.993,1.832,-3.600,0.000,100.000,92.000,0.000
mode longMedium,0,30.000,2000.000,1946.000,-2.700,38.860,38.810,130.000,395.000,1.946,0.048,0.143,0.073,2.088,1.803,2.043,1.862,-2.700,0.000,100.000,115.000,0.000
mode longMedium,0,35.000,2000.000,1966.000,-1.700,39.340,39.300,130.000,382.000,1.966,0.048,0.144,0.073,2.110,1.822,2.048,1.850,-1.700,0.000,100.000,140.000,0.000
mode longMedium,0,40.000,2000.000,1996.000,-0.200,39.960,39.970,130.000,381.000,1.996,0.060,0.180,0.090,2.176,1.815,2.105,1.879,-0.200,0.000,100.000,162.000,0.000
mode longMedium,0,50.000,2000.000,2048.000,2.400,41.070,41.100,130.000,398.000,2.048,0.069,0.207,0.101,2.255,1.841,2.169,1.909,2.400,0.000,100.000,201.000,0.000
